video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/IRP6ERPfumk,/@DodgingbulletsOrg,Dodging Bullets - A Documentary Film on Historical Trauma,President Obama speaks about Native American children to Standing Rock Reservation Families,12K,9 years,President Obama speaks about children to families in the city of Cannon Ball on the Standing Rock Reservation. A Documentary ...,2024-01-29 05:28:16.063482
/watch?v=9-EQ7BuhQq4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Tribes across North America converge at Standing Rock, hoping to be heard",118K,7 years,Protestors of the North Dakota pipeline celebrated after the Department of Justice temporarily halted the project in federal ...,2024-01-29 05:28:16.066881
/watch?v=94GcJuxJPgM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@VICE-TV,VICE TV,Standing Strong at Standing Rock: SLIDESHOW with Josué Rivas,9K,5 years,"Josué Rivas talks Standing Strong, his series of powerful photos from Standing Rock in 2016, and how he hopes his images can ...",2024-01-29 05:28:16.069999
/watch?v=EyfyqX4raCk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TEDx,TEDx Talks,Standing Rock: The Power of Telling Our Own Story | Josue Rivas | TEDxRapidCity,8.1K,6 years,L.A.-based photographer and filmmaker Josue Rivas gained national attention for his work covering Standing Rock. In this moving ...,2024-01-29 05:28:16.072848
/watch?v=gWGkKS2pUUw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Football: Standing Rock Moves on With a Win over McLaughlin,605,1 year,"Football: Standing Rock Moves on With a Win over McLaughlin Stay informed about Western North Dakota news, weather and ...",2024-01-29 05:28:16.074559
/watch?v=RX-3jdXa46U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock and the Battle Beyond | Fault Lines,46K,7 years,"For months, Native Americans have been protesting against the Dakota Access oil pipeline, a multibillion-dollar construction ...",2024-01-29 05:28:16.076194
/watch?v=jG662XdJS_k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Kyrie Irving receives tribal name from Sioux Tribe on Standing Rock Reservation,10K,5 years,Kyrie Irving receives tribal name from Sioux Tribe on Standing Rock Reservation.,2024-01-29 05:28:24.693675
/watch?v=X2tsaiUEOCo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@herecalico,herecalico,"Florida Boys,  2003 , Standing on the Solid Rock.",143K,11 years,"Live from the NQC 2003. Josh Garner on lead, Allan Cox on tenor, Glen Allred on baritone, Gene McDonald singing bass, Darrell ...",2024-01-29 05:28:24.695342
/watch?v=txnG-gcLv6s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@GoodWolfSessions,Good Wolf Sessions,"Trevor Hall ""Standing Rock"" Boston, MA 11.17.16",30K,7 years,Trevor Hall encores with a new song dedicated to the water protectors fighting the black snake up at Standing Rock. Live at The ...,2024-01-29 05:28:24.696625
/watch?v=f8TEK5l3k-4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,"Standing Rock Sioux Chairman: Dakota Access Pipeline ""Is Threatening the Lives of My Tribe""",55K,7 years,"http://democracynow.org - In North Dakota, indigenous activists are continuing to protest the proposed $3.8 billion Dakota Access ...",2024-01-29 05:28:24.699711
/watch?v=aO1mkv5pgC8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@givepowerfoundation,GivePower Foundation,GivePower: Power for Standing Rock,860,4 years,Project coming: July 2019.,2024-01-29 05:28:24.700909
/watch?v=_rsAyaSdkJc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Veterans Stand Ground With Pipeline Protesters At Standing Rock | NBC News,32K,7 years,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2024-01-29 05:28:24.702199
/watch?v=LggC3EMwgO4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Grist,Grist,These veterans explain why they went to Standing Rock,11K,7 years,"Chris Vickers, a former army medic, first came across footage of the standoff at Standing Rock on Facebook. He'd been out of the ...",2024-01-29 05:28:24.703945
/watch?v=1FwOYI2kay4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@espn,ESPN,[FULL] Kyrie Irving speech at Standing Rock Sioux naming ceremony | ESPN,64K,5 years,Boston Celtics guard and NBA All-Star Kyrie Irving gives an emotional speech at his Standing Rock Sioux naming ceremony on ...,2024-01-29 05:28:24.705321
/watch?v=s6VuftV5QuQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@HollywoodCreativeAlliance,Hollywood Creative Alliance,End of the Line: The Women of Standing Rock Speech  | 2022 HCA TV Awards,1.1K,1 year,"endlinefilm takes home the award for Best Broadcast Network or Cable Documentary, at the 2nd Annual Hollywood Critics ...",2024-01-29 05:28:24.706493
/watch?v=gFzHc51_Pts&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCp_o6FI5WZ6dOGuOvigHmpQ,Jarina De Marco,Jarina De Marco - Release The Hounds (Stand with Standing Rock),79K,7 years,Credits Directed by Mikki Willis Produced by Cameron Bartolini Video produced by Jarina De Marco and Esthero Edited by ...,2024-01-29 05:28:24.707771
/watch?v=SoKRHzNR36M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TheAdventureCloset,The Adventure Closet,Standing Rock Sioux Reservation | Sleeping at a Rest Stop,713,1 year,Standing Rock Sioux Reservation tour * Where does Standing Rock get its name? * Couple living in a minivan sleep at a rest stop ...,2024-01-29 05:28:24.709016
/watch?v=Iwroxq7pRSo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UC7s3H9tEelF5-vooCeJj3eQ,cityofthesun,City of the Sun – Standing Rock (Official Audio),50K,4 years,"© 2017 City of the Sun, LLC City of the Sun is John Pita, Avi Snow, & Zach Para. Connect: Instagram: ...",2024-01-29 05:28:24.710270
/watch?v=DCxspLnGozs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TIFF,TIFF Originals,Standing With Standing Rock: Conversations about VICELAND's RISE,7.9K,Streamed 6 years,"RISE director and showrunner Michelle Latimer joins us for an onstage conversation about the making of the series, Indigenous ...",2024-01-29 05:28:24.711531
/watch?v=70wsOvkZUMA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@obamawhitehouse,The Obama White House,"Highlights: President Obama Visits Standing Rock Reservation, North Dakota, June 13, 2014",53K,9 years,President Obama and the First Lady made an historic visit to Standing Rock Indian Reservation in North Dakota during the annual ...,2024-01-29 05:28:24.712951
/watch?v=BCNwFCWO52Q&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Basketball: Shiloh Christian Pulls off the Upset over Standing Rock,586,1 year,"Basketball: Shiloh Christian Pulls off the Upset over Standing Rock Stay informed about Western North Dakota news, weather and ...",2024-01-29 05:28:24.714291
/watch?v=5MKWPWD3C-0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@IndianCountryToday,Indian Country Today,Dear Veterans: Welcome to Standing Rock,59K,7 years,Dear Veterans: Welcome to Standing Rock by Longhouse Media.,2024-01-29 05:28:24.716568
/watch?v=swv6hhsgxP0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@globalnews,Global News,New Zealand man performs Haka for Standing Rock Protesters in North Dakota,25K,7 years,A New Zealand man named Kereama Te Ua showed his support for the indigenous people of North Dakota when he performed a ...,2024-01-29 05:28:24.717961
/watch?v=UI66LBGYIDo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aptnnews,APTN News,Standing Rock camp founder Joye Braun dies at age 53 | APTN News,4.3K,1 year,One of the first people to set up camp on the banks of the Cannonball River in Standing Rock has passed away. Joye Braun was ...,2024-01-29 05:28:24.719367
/watch?v=ZHwVBirqD2s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCcd0tBtip8YzdTCUw3OVv_Q,Elton John,Elton John - I'm Still Standing,205M,13 years,"Now in 4K! The video for ""I'm Still Standing"" was directed by Russell Mulcahy and filmed in Cannes and Nice, France. It is the ...",2024-01-29 05:28:33.861847
/watch?v=1kQvOANqDNY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ParvatiRecords,Parvati Records,Archaic - Standing Rock [Video Clip],21K,4 years,Parvati Records is an independent record label started in Denmark during the summer 2000 by Dj Giuseppe with the wish to ...,2024-01-29 05:28:33.865268
/watch?v=1FpCyse5wqc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@matikawilbur2515,Matika Wilbur,Standing Rock Runners,1.9K,7 years,"The Runners”, chant to stop The Dakota Access Pipeline. They are an alliance of Oceti Sakowin youth and allies who left Sacred ...",2024-01-29 05:28:33.867072
/watch?v=kb1brGCM7x8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@pspnetwork6355,PSP Network,🏀 (1-11-22) Class B BB: New Salem 🆚 Standing Rock,2.2K,Streamed 2 years,Region 5 Opponents lock horns! Todd Domres has the call!,2024-01-29 05:28:33.868319
/watch?v=yGmwgi1yblQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCHAyiHSDajCsHBGtdaPA95g,Raye Zaragoza,Driving to Standing Rock - Raye Zaragoza (Official Music Video),18K,5 years,Driving to Standing Rock is about the joy & power of being a part of collective change. It is about the excitement of finding people ...,2024-01-29 05:28:33.870403
/watch?v=mW2xb7JC3_M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Montbear6178,Jana Alayra,Standing on the Solid Rock,368K,6 years,Authorized version by Jana Alayra. May this song bless you!,2024-01-29 05:28:33.872604
/watch?v=agdcwz7yCFM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@espn,ESPN,Reacting to Kyrie Irving officially joining Standing Rock Sioux | The Jump | ESPN,233K,5 years,"Boston Celtics guard and NBA All-Star Kyrie Irving was given a Standing Rock Sioux naming ceremony on Aug. 23, 2018.",2024-01-29 05:28:33.875040
/watch?v=_-dVkciRwAs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Standing Rock vs Washburn,238,4 years,Standing Rock vs Washburn.,2024-01-29 05:28:33.877410
/watch?v=oCVg3Av6uRQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@gisborneherald,gisborneherald,#Live Haka supports Standing Rock,170K,7 years,TAIRAWHITI Maori have gone global with two rousing haka in their support for those protesting a multibillion-dollar oil pipeline at ...,2024-01-29 05:28:33.881347
/watch?v=-tqcnUAzGnc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ToddCountySchoolDistrict,Todd County School District,TCHS vs Standing Rock Varsity Football 2021,1.4K,Streamed 2 years,TCHS vs Standing Rock Varsity Football 2021.,2024-01-29 05:28:33.883713
/watch?v=LK0IwdOCawc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@YourLiveEvent,Your Live Event,Standing Rock vs Richland - Barnes County Boys Basketball Tournament 3rd Place Game,1.4K,Streamed 1 year,Standing Rock vs Richland - Barnes County Boys Basketball Tournament 3rd Place Game.,2024-01-29 05:28:33.889282
/watch?v=AeUIyI83b7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@theLFShow,The Laura Flanders Show,RISE With Standing Rock,35K,7 years,"There's a revolution happening in Standing Rock, at the Očhéthi Šakówiŋ camp, and across the country. Over 200 indigenous ...",2024-01-29 05:28:33.892247
/shorts/loTja6ZwYuU,/@ClimateOne,Climate One,Jane Fonda on Indigenous Movements from Alcatraz to Standing Rock #climatecrisis #podcast,12K,2 months,The great actress and activist sees a direct connection from the AIM occupation of Alcatraz to the Standing Rock #nodapl ...,2024-01-29 05:28:33.895749
/watch?v=rDzFZ4BTx9U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ndgnf,North Dakota Game and Fish Department,Standing Rock Elk - NDGNF,4K,7 years,"The Standing Rock Sioux Tribe, UND and the North Dakota Game and Fish Department are partnering in a study of the Sioux ...",2024-01-29 05:28:33.898679
/watch?v=D08xoLZ-V5k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@YourLiveEvent,Your Live Event,Barnes County Basketball Tournament- Standing Rock vs. Enderlin,1.7K,Streamed 1 year,Barnes County Basketball Tournament- Standing Rock vs. Enderlin.,2024-01-29 05:28:33.901585
/watch?v=JgybQvHpG4w&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@standingrocksyllabus6011,Standing Rock Syllabus,Standing Rock Teach-In: Introduction to Settler Colonialism with Anne Spice,6.5K,7 years,Anne Spice on the basics of settler colonialism.,2024-01-29 05:28:33.904338
/watch?v=kuZcx2zEo4k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Dakota Access Pipeline Company Attacks Native American Protesters with Dogs & Pepper Spray,1.4M,7 years,The project has faced months of resistance from the Standing Rock Sioux tribe and members of nearly 100 more tribes from ...,2024-01-29 05:28:33.907406
/watch?v=KI4A4RwPpgg&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@bioneers,Bioneers,Standing Rock Update | Bioneers 2016,527,7 years,"Standing Rock Update with Kandi Mossett, Dallas Goldtooth and Tara Houska. This speech was given at the 2016 National ...",2024-01-29 05:28:33.911205
/watch?v=yb7e-bDEEYY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@SmithsonianNMAI,SmithsonianNMAI,Standing Rock Dancers,13K,11 years,Standing Rock Indian Reservation straddles the border between North and South Dakota. Their youth program reaches over 500 ...,2024-01-29 05:28:33.913988
